iter	Logloss
0	0.6882406751
1	0.6840606484
2	0.6801035461
3	0.6758062045
4	0.6717441753
5	0.6671794151
6	0.6641249149
7	0.6603130585
8	0.6561869914
9	0.6524909672
10	0.6480964061
11	0.6445001172
12	0.6405989984
13	0.6369423432
14	0.6328240408
15	0.6285960002
16	0.6241532608
17	0.61997043
18	0.6160647582
19	0.611948238
20	0.6091846417
21	0.6056341535
22	0.6017259942
23	0.5986772336
24	0.5958221829
25	0.5934535437
26	0.5907328546
27	0.5889038561
28	0.5855544357
29	0.5824885077
30	0.5789958599
31	0.575970883
32	0.573285081
33	0.5707400693
34	0.5673374804
35	0.5642964332
36	0.5611795408
37	0.5582440288
38	0.5554546337
39	0.5518469313
40	0.5484553859
41	0.5449663058
42	0.5416632953
43	0.5389389899
44	0.5360422734
45	0.5331084187
46	0.5305650351
47	0.5284380271
48	0.5260462269
49	0.5233228263
50	0.5216261715
51	0.5188129972
52	0.5163564481
53	0.5136113291
54	0.5113043987
55	0.5085092598
56	0.5061818115
57	0.5039395375
58	0.5016782635
59	0.4992876372
60	0.4973396629
61	0.4951453951
62	0.4924815117
63	0.4901190526
64	0.4874944735
65	0.4852636163
66	0.4829626222
67	0.4810711288
68	0.4785052605
69	0.4766565301
70	0.4747353742
71	0.4734012495
72	0.4710619204
73	0.4686965509
74	0.4673245948
75	0.4655148706
76	0.4647301983
77	0.4623826441
78	0.4609591061
79	0.4591735069
80	0.457574135
81	0.4557141881
82	0.4541097865
83	0.4525284299
84	0.4505223949
85	0.4493279166
86	0.4474541702
87	0.4458925416
88	0.4444264389
89	0.4428037398
90	0.4405069739
91	0.4385475657
92	0.4373901828
93	0.4360345274
94	0.4342311715
95	0.4323858271
96	0.4305086449
97	0.4287301243
98	0.4273178187
99	0.4258004979
100	0.4240274515
101	0.4219461947
102	0.4201884845
103	0.4186907982
104	0.4171349901
105	0.4152845435
106	0.4134103096
107	0.4119793468
108	0.4110004792
109	0.4095420653
110	0.4091580576
111	0.4077457259
112	0.4060484534
113	0.4043266778
114	0.403157762
115	0.4013533816
116	0.4001460622
117	0.3984926158
118	0.3975506967
119	0.3960873311
120	0.3943824471
121	0.3923717006
122	0.390823696
123	0.3891928718
124	0.388207516
125	0.3865175494
126	0.3852797715
127	0.3837753455
128	0.3826969642
129	0.3810053867
130	0.3797467335
131	0.3785627263
132	0.377185983
133	0.3759810916
134	0.3750304684
135	0.3742406331
136	0.3727157021
137	0.3714850459
138	0.3705490315
139	0.3695522406
140	0.3691544406
141	0.3678832095
142	0.3664736188
143	0.365544655
144	0.3652714828
145	0.3642711168
146	0.3628541219
147	0.3611193529
148	0.3606916532
149	0.3592199793
150	0.3579207977
151	0.3570309775
152	0.356342123
153	0.355418349
154	0.3542718841
155	0.3534611217
156	0.3525917379
157	0.3515703805
158	0.3504063271
159	0.3495841026
160	0.3489807026
161	0.3482649795
162	0.347201049
163	0.3461841081
164	0.3447566986
165	0.3439987288
166	0.3427841594
167	0.3415446187
168	0.340677435
169	0.339630259
170	0.3382838576
171	0.3373325766
172	0.3364030517
173	0.3351737498
174	0.334649449
175	0.3336043996
176	0.3334299929
177	0.3323620935
178	0.3312193795
179	0.3303670849
180	0.3293964556
181	0.328522125
182	0.3274913223
183	0.3270049693
184	0.3260969554
185	0.3254307575
186	0.3244141194
187	0.3236557579
188	0.3227974285
189	0.3222907822
190	0.3216597448
191	0.3206312392
192	0.3197157352
193	0.3186451874
194	0.3177780145
195	0.3171300486
196	0.3168205784
197	0.3158919913
198	0.3148919219
199	0.3141383676
200	0.3131443565
201	0.3126346049
202	0.311840032
203	0.3108116034
204	0.3099025225
205	0.3092816209
206	0.3083749559
207	0.3077486596
208	0.3074045818
209	0.306497974
210	0.305734398
211	0.3047407369
212	0.3039012585
213	0.3034872389
214	0.3033045276
215	0.3029990398
216	0.30226827
217	0.3016927892
218	0.3011288707
219	0.3002667797
220	0.2995523124
221	0.2987863893
222	0.2981469413
223	0.2973353676
224	0.296841532
225	0.2961960501
226	0.295652991
227	0.2947977129
228	0.2939948706
229	0.2930425482
230	0.2926205679
231	0.2918068669
232	0.2912524834
233	0.2904814329
234	0.2898968588
235	0.2891028191
236	0.2882512988
237	0.2877342473
238	0.286968499
239	0.2862183729
240	0.2855896866
241	0.2849337981
242	0.2841919395
243	0.2833553999
244	0.2830995705
245	0.2823594774
246	0.2817243153
247	0.2810243486
248	0.2807898692
249	0.2801967341
250	0.2796687368
251	0.279238672
252	0.2786446634
253	0.2781903333
254	0.2776737732
255	0.2771088635
256	0.2763707044
257	0.275952004
258	0.2754149929
259	0.2749888716
260	0.2743203284
261	0.2736760097
262	0.2730536135
263	0.2722427221
264	0.2717256906
265	0.271164649
266	0.2705572685
267	0.2702868943
268	0.2697451427
269	0.2693398689
270	0.2688201569
271	0.26829395
272	0.2677012803
273	0.2672490932
274	0.2665491603
275	0.2660804907
276	0.2654432889
277	0.2648171399
278	0.2643355539
279	0.2636643829
280	0.2631911924
281	0.263034096
282	0.262306556
283	0.2618106845
284	0.2611137334
285	0.2604238983
286	0.2596352875
287	0.2591191713
288	0.2585836841
289	0.2579951797
290	0.2576312638
291	0.257347002
292	0.2569587366
293	0.2564614243
294	0.2558592088
295	0.2554383391
296	0.2549834612
297	0.2544597076
298	0.2540133148
299	0.2532938417
300	0.2530020209
301	0.2525860322
302	0.25198413
303	0.2515890899
304	0.251002203
305	0.2506313122
306	0.2502459628
307	0.249979789
308	0.2493316628
309	0.2489592497
310	0.2485242093
311	0.2479721369
312	0.2474756205
313	0.2472409757
314	0.2467182847
315	0.2461869149
316	0.245930217
317	0.2456094183
318	0.2450588145
319	0.2445524209
320	0.2440634879
321	0.2434969093
322	0.243150603
323	0.2425680902
324	0.2420789393
325	0.2415669786
326	0.2412394787
327	0.2408188378
328	0.2404565191
329	0.2399269924
330	0.2395687151
331	0.2392429209
332	0.238831026
333	0.2385830475
334	0.2380141661
335	0.237649119
336	0.2372190192
337	0.2368792751
338	0.2364643966
339	0.2360405325
340	0.2354192814
341	0.2349881206
342	0.2346810804
343	0.2341633463
344	0.2335688485
345	0.233207316
346	0.2329417335
347	0.2325030933
348	0.2318333666
349	0.2312545162
350	0.2310084405
351	0.2306021746
352	0.2303489915
353	0.2300484404
354	0.2295420791
355	0.2289823539
356	0.2286260076
357	0.2281131148
358	0.2278613183
359	0.2274585206
360	0.2271262356
361	0.2268066994
362	0.2263289999
363	0.2260950651
364	0.2256782319
365	0.2251819639
366	0.2246672883
367	0.2242309736
368	0.223720576
369	0.2235200891
370	0.2228683555
371	0.2222789771
372	0.2218663683
373	0.2214013719
374	0.2211454698
375	0.220842521
376	0.2205564507
377	0.2203684793
378	0.2199599655
379	0.2199140784
380	0.219621579
381	0.2194952619
382	0.2191102054
383	0.2188737475
384	0.2185711162
385	0.2182769296
386	0.2176007323
387	0.2173416214
388	0.2170877512
389	0.2165987649
390	0.2164030931
391	0.2160689885
392	0.2156793184
393	0.2153661754
394	0.2152260316
395	0.2151837955
396	0.2150032666
397	0.2147506812
398	0.2143956911
399	0.2140199932
400	0.2134706991
401	0.2131925304
402	0.2126766252
403	0.212459733
404	0.2120921386
405	0.2116477916
406	0.2113661232
407	0.2111419949
408	0.2108950485
409	0.2105498756
410	0.2101592436
411	0.2099795118
412	0.2096251894
413	0.2095161774
414	0.2092221262
415	0.2089078577
416	0.2084640219
417	0.2082345022
418	0.2077956915
419	0.2074674364
420	0.2070324355
421	0.2068018929
422	0.2067014354
423	0.2063247594
424	0.2060632191
425	0.2058196785
426	0.2052391221
427	0.2050437494
428	0.204747967
429	0.2043808192
430	0.204117043
431	0.2038954317
432	0.2035313272
433	0.203189158
434	0.2029181112
435	0.2026332525
436	0.2023421056
437	0.2020073546
438	0.2015304684
439	0.2012079366
440	0.2008693682
441	0.200614383
442	0.2001104388
443	0.1997713792
444	0.1994723263
445	0.199054623
446	0.1985923087
447	0.1983734761
448	0.1979427116
449	0.1976400832
450	0.1972633441
451	0.196965842
452	0.1966007156
453	0.1964558636
454	0.1961842593
455	0.1958641428
456	0.195747851
457	0.1955181826
458	0.1952386902
459	0.194917212
460	0.1945533612
461	0.1942047843
